(1514, 1514, (41, 11))
(1514, 1514, (41, 12))
(64, 64, (39, 8))
(1514, 1514, (41, 13))
(1514, 1514, (41, 14))
(64, 64, (39, 9))
(1514, 1514, (41, 15))
(1514, 1514, (41, 16))
(64, 64, (39, 10))
(1514, 1514, (41, 17))
(1514, 1514, (41, 18))
(64, 64, (39, 11))
(1514, 1514, (41, 19))
(1514, 1514, (41, 20))
(64, 64, (39, 12))
(1514, 1514, (41, 21))
(1514, 1514, (41, 22))
(64, 64, (39, 13))
(1514, 1514, (41, 23))
(1138, 1138, (41, 24))
(64, 64, (39, 14))
(64, 64, (32, 5))
(356, 356, (33, 5))
(66, 66, (32, 6))
(1266, 1266, (35, 5))
(64, 64, (26, 7))
(64, 64, (34, 5))
(64, 64, (37, 10))
(64, 64, (38, 4))
(269, 269, (37, 11))
(64, 64, (12, 6))
(64, 64, (35, 6))
(1157, 1157, (35, 7))
(64, 64, (37, 12))
(323, 323, (37, 13))
(66, 66, (42, 1))
(452, 452, (26, 8))
(1514, 1514, (27, 6))
(1514, 1514, (27, 7))
(1514, 1514, (27, 8))
(64, 64, (26, 9))
(1514, 1514, (27, 9))
(1514, 1514, (27, 10))
(1023, 1023, (27, 11))
(64, 64, (26, 10))
(66, 66, (43, 1))
(64, 64, (42, 2))
(607, 607, (42, 3))
(64, 64, (35, 8))
(270, 270, (43, 2))
(64, 64, (43, 3))
(64, 64, (42, 4))
(64, 64, (42, 5))
(66, 66, (44, 1))
(64, 64, (43, 4))
(66, 66, (45, 1))
(64, 64, (44, 2))
(660, 660, (44, 3))
(1514, 1514, (45, 2))
(1514, 1514, (45, 3))
(1514, 1514, (45, 4))
(64, 64, (44, 4))
(1514, 1514, (45, 5))
(862, 862, (45, 6))
(64, 64, (45, 7))
(64, 64, (44, 5))
(64, 64, (44, 6))
(64, 64, (45, 8))
(64, 64, (41, 25))
(64, 64, (39, 15))
(115, 115, (46, 1))
(91, 91, (46, 2))
(64, 64, (46, 3))
(64, 64, (47, 1))
(64, 64, (47, 2))
(64, 64, (46, 4))
(66, 66, (48, 1))
(66, 66, (49, 1))
(64, 64, (48, 2))
(618, 618, (48, 3))
(1514, 1514, (49, 2))
(1514, 1514, (49, 3))
(64, 64, (48, 4))
(1514, 1514, (49, 4))
(1514, 1514, (49, 5))
(64, 64, (48, 5))
(798, 798, (49, 6))
